"","Uso","area_km2.length","area_km2.sum","area_km2.mean","area_km2.sd"
"1","Aeroporto",8,1.36562210192871,0.170702762741089,0.198151885354069
"2","Afloramento Rochoso",1444,1445.06827149109,1.00073980020159,6.71565032056492
"3","Água",1175,730.082394206787,0.621346718473861,8.30481935344112
"4","Áreas Abertas (úmidas + Secas)",537,188.327275078857,0.350702560668263,1.0422229199161
"5","Áreas Agricolas",286,466.920448454346,1.6325889806096,15.104890112087
"6","Áreas de Mineração",34,106.678588123779,3.13760553305233,7.47051037588994
"7","Áreas de Reflorestamento",3702,2270.44575110852,0.613302471936391,3.46917788843659
"8","Áreas Urbanas",638,470.400622529297,0.737305050986359,2.27608643880357
"9","Pastagem",10842,51499.3925439105,4.74999008890523,127.615251474815
"10","Rodovias",54,50.6408182122803,0.937792929857042,1.84984523461611
"11","Vegetação Nativa",33649,24993.9556031719,0.742784498890662,10.2321163307529
