"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Afloramento Rochoso",37,25244.1468756348,682.274239882021,2731.39877943252
"2","Água",26,1655.12480905762,63.658646502216,67.577832531778
"3","Áreas Abertas (úmidas + Secas)",9,1307.01999794922,145.22444421658,184.44530526945
"4","Áreas de Mineração",4,4066.45078933105,1016.61269733276,1861.41582255237
"5","Áreas de Reflorestamento",59,3645.8596017334,61.7942305378542,114.677841385636
"6","Áreas Urbanas",8,2839.76172475586,354.970215594482,563.51783499856
"7","Pastagem",526,137794.496399683,261.966723193313,4884.5864005765
"8","Rodovias",3,138.516476611328,46.1721588704427,29.6572150077305
"9","Vegetação Nativa",939,110201.894261499,117.360909756655,1332.73265899574
